Title,Author,Year
El Principito,--Author unknown--,1943
La Principesa,--Author unknown--,2023
El extranjero,Albert Camus,1942
Las aventuras de Sherlock Holmes,Arthur Conan Doyle,1892
Drácula,Bram Stoker,1897
Divina Comedia,Dante Alighieri,1320
El gran Gatsby,F. Scott Fitzgerald,1925
Crimen y castigo,Fiódor Dostoievski,1866
Cien años de soledad,Gabriel García Márquez,1967
1984,George Orwell,1949
Madame Bovary,Gustave Flaubert,0
Moby-Dick,Herman Melville,1851
Ulises,James Joyce,0
Orgullo y prejuicio,Jane Austen,1813
Guerra y paz,León Tolstói,0
En busca del tiempo perdido,Marcel Proust,1913
Don Quijote de la Mancha,Miguel de Cervantes,0
Fahrenheit 451,Ray Bradbury,1953
Los miserables,Victor Hugo,1862
