Title,Author,Year
Don Quijote de la Mancha,Miguel de Cervantes,0
Ulises,James Joyce,0
Guerra y paz,León Tolstói,0
Madame Bovary,Gustave Flaubert,0
Divina Comedia,Dante Alighieri,1320
Orgullo y prejuicio,Jane Austen,1813
Moby-Dick,Herman Melville,1851
Los miserables,Victor Hugo,1862
Crimen y castigo,Fiódor Dostoievski,1866
Las aventuras de Sherlock Holmes,Arthur Conan Doyle,1892
Drácula,Bram Stoker,1897
En busca del tiempo perdido,Marcel Proust,1913
El gran Gatsby,F. Scott Fitzgerald,1925
El extranjero,Albert Camus,1942
El Principito,--Author unknown--,1943
1984,George Orwell,1949
Fahrenheit 451,Ray Bradbury,1953
Cien años de soledad,Gabriel García Márquez,1967
La Principesa,--Author unknown--,2023
